"INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"I192060944","03201","Property Lost","PROPERTY - LOST","B3",452,NA,2017-06-01 00:00:00,2017,6,"Thursday",0,"Part Three","MERLIN ST",42.29572232,-71.07505157,"(42.29572232, -71.07505157)"
"I192059721","03201","Property Lost","PROPERTY - LOST","B3",474,NA,2017-07-01 09:00:00,2017,7,"Saturday",9,"Part Three","COLORADO ST",42.27446121,-71.10260406,"(42.27446121, -71.10260406)"
"I192056464","03201","Property Lost","PROPERTY - LOST","B3",467,NA,2017-12-25 00:00:00,2017,12,"Monday",0,"Part Three","HILLSBORO RD",42.28227628,-71.09713652,"(42.28227628, -71.09713652)"
"I192055662","03201","Property Lost","PROPERTY - LOST","C11",344,NA,2017-10-01 00:00:00,2017,10,"Sunday",0,"Part Three","CORONA ST",42.30097791,-71.07077333,"(42.30097791, -71.07077333)"
"I192048617","03201","Property Lost","PROPERTY - LOST","E13",572,NA,2017-02-27 15:30:00,2017,2,"Monday",15,"Part Three","WASHINGTON ST",42.31408519,-71.09998685,"(42.31408519, -71.09998685)"
"I192041965","03201","Property Lost","PROPERTY - LOST","C11",355,NA,2017-08-01 00:00:00,2017,8,"Tuesday",0,"Part Three","GIBSON ST",42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
"I192011711","03201","Property Lost","PROPERTY - LOST","A15",900,NA,2017-01-01 09:20:00,2017,1,"Sunday",9,"Part Three","WALFORD WAY",42.37850943,-71.0581776,"(42.37850943, -71.05817760)"
"I192004224","03201","Property Lost","PROPERTY - LOST","E18",527,NA,2017-01-13 08:00:00,2017,1,"Friday",8,"Part Three","HAMILTON ST",42.23604809,-71.131313,"(42.23604809, -71.13131300)"
"I192002276","03201","Property Lost","PROPERTY - LOST","A1",61,NA,2017-08-15 00:00:00,2017,8,"Tuesday",0,"Part Three","BEVERLY ST",42.36658726,-71.06019881,"(42.36658726, -71.06019881)"
"I182102218","03201","Property Lost","PROPERTY - LOST","B3",449,NA,2017-09-19 09:00:00,2017,9,"Tuesday",9,"Part Three","MILLET ST",42.29210002,-71.07634761,"(42.29210002, -71.07634761)"
"I182097356","03201","Property Lost","PROPERTY - LOST","B2",311,NA,2017-08-05 10:54:00,2017,8,"Saturday",10,"Part Three","EDGEWOOD ST",42.31845834,-71.08032338,"(42.31845834, -71.08032338)"
"I182097325","03201","Property Lost","PROPERTY - LOST","E18",492,NA,2017-05-01 08:54:00,2017,5,"Monday",8,"Part Three","HUNTINGTON AVE",42.26560754,-71.11608448,"(42.26560754, -71.11608448)"
"I182094587","03201","Property Lost","PROPERTY - LOST","B2",178,NA,2017-11-23 15:24:00,2017,11,"Thursday",15,"Part Three","MASSACHUSETTS AVE",42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
"I182094101","03201","Property Lost","PROPERTY - LOST","D14",759,NA,2017-11-01 07:30:00,2017,11,"Wednesday",7,"Part Three","PERTHSHIRE RD",42.35360676,-71.16662133,"(42.35360676, -71.16662133)"
"I182093039","03201","Property Lost","PROPERTY - LOST","D4",630,NA,2017-12-17 00:00:00,2017,12,"Sunday",0,"Part Three","BEACON ST",42.34642641,-71.10611411,"(42.34642641, -71.10611411)"
"I182092552","03201","Property Lost","PROPERTY - LOST","B2",259,NA,2017-09-27 00:00:00,2017,9,"Wednesday",0,"Part Three","MAGNOLIA ST",42.31478432,-71.07160997,"(42.31478432, -71.07160997)"
"I182092368","03201","Property Lost","PROPERTY - LOST","B3",944,NA,2017-09-01 12:00:00,2017,9,"Friday",12,"Part Three","AMES WAY",42.28965805,-71.08634397,"(42.28965805, -71.08634397)"
"I182090757","03201","Property Lost","PROPERTY - LOST","C11",245,NA,2017-02-01 00:00:00,2017,2,"Wednesday",0,"Part Three","SUDAN ST",42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
"I182089429","03201","Property Lost","PROPERTY - LOST","A1",111,NA,2017-09-01 08:00:00,2017,9,"Friday",8,"Part Three","WEST ST",42.35500441,-71.06300728,"(42.35500441, -71.06300728)"
"I182080162","03201","Property Lost","PROPERTY - LOST","D4",150,NA,2017-07-01 11:06:00,2017,7,"Saturday",11,"Part Three","COLUMBUS AVE",42.3445265,-71.0767905,"(42.34452650, -71.07679050)"
"I182076588","03201","Property Lost","PROPERTY - LOST","C11",359,NA,2017-09-22 00:00:00,2017,9,"Friday",0,"Part Three","TREMLETT ST",42.29527071,-71.06775815,"(42.29527071, -71.06775815)"
"I182073544","03201","Property Lost","PROPERTY - LOST","E13",NA,NA,2017-10-12 13:06:00,2017,10,"Thursday",13,"Part Three",NA,42.31580852,-71.09829029,"(42.31580852, -71.09829029)"
"I182069920","03201","Property Lost","PROPERTY - LOST","B2",287,NA,2017-08-31 12:08:00,2017,8,"Thursday",12,"Part Three","SHAWMUT AVE",42.33192532,-71.08411222,"(42.33192532, -71.08411222)"
"I182069334","03201","Property Lost","PROPERTY - LOST","B3",420,NA,2017-12-08 22:00:00,2017,12,"Friday",22,"Part Three","MORTON ST",42.27959103,-71.08132258,"(42.27959103, -71.08132258)"
"I182068912","03201","Property Lost","PROPERTY - LOST","A7",942,NA,2017-01-30 19:00:00,2017,1,"Monday",19,"Part Three","VALLAR RD",42.39269663,-71.00842413,"(42.39269663, -71.00842413)"
"I182065040","03201","Property Lost","PROPERTY - LOST","E18",540,NA,2017-12-15 11:00:00,2017,12,"Friday",11,"Part Three","SUNNYSIDE ST",42.25235422,-71.13180679,"(42.25235422, -71.13180679)"
"I182064673","03201","Property Lost","PROPERTY - LOST","E18",543,NA,2017-01-01 08:00:00,2017,1,"Sunday",8,"Part Three","CHILD ST",42.25549019,-71.12985322,"(42.25549019, -71.12985322)"
"I182058070","03201","Property Lost","PROPERTY - LOST","C11",335,NA,2017-01-01 00:00:00,2017,1,"Sunday",0,"Part Three","BOWDOIN ST",42.30648026,-71.06675783,"(42.30648026, -71.06675783)"
"I182057986","03201","Property Lost","PROPERTY - LOST","B3",457,NA,2017-01-23 00:00:00,2017,1,"Monday",0,"Part Three","ESMOND ST",42.29861988,-71.08511004,"(42.29861988, -71.08511004)"
"I182057297","03201","Property Lost","PROPERTY - LOST","B2",NA,NA,2017-11-11 19:00:00,2017,11,"Saturday",19,"Part Three","BLUE HILL AVE",NA,NA,"(0.00000000, 0.00000000)"
"I182055262","03201","Property Lost","PROPERTY - LOST","A1",73,NA,2017-12-31 00:00:00,2017,12,"Sunday",0,"Part Three","CENTER PLZ",42.35988372,-71.06016189,"(42.35988372, -71.06016189)"
"I182054520","03201","Property Lost","PROPERTY - LOST","E13",912,NA,2017-08-17 11:00:00,2017,8,"Thursday",11,"Part Three","CENTRE ST",42.32287413,-71.10155354,"(42.32287413, -71.10155354)"
"I182054270","03201","Property Lost","PROPERTY - LOST","C11",393,NA,2017-07-06 00:00:00,2017,7,"Thursday",0,"Part Three","DRACUT ST",42.28741838,-71.0619078,"(42.28741838, -71.06190780)"
"I182046517","03201","Property Lost","PROPERTY - LOST","A1",94,NA,2017-10-12 17:00:00,2017,10,"Thursday",17,"Part Three","FANEUIL HALL MARKETPLACE",42.35997967,-71.05474135,"(42.35997967, -71.05474135)"
"I182045998","03201","Property Lost","PROPERTY - LOST","E18",523,NA,2017-11-16 08:00:00,2017,11,"Thursday",8,"Part Three","HYDE PARK AVE",42.24826158,-71.12716914,"(42.24826158, -71.12716914)"
"I182045578","03201","Property Lost","PROPERTY - LOST","B2",604,NA,2017-12-31 20:00:00,2017,12,"Sunday",20,"Part Three","SACHEM ST",42.33151289,-71.10494901,"(42.33151289, -71.10494901)"
"I182045575","03201","Property Lost","PROPERTY - LOST","B2",306,NA,2017-06-12 14:06:00,2017,6,"Monday",14,"Part Three","WALNUT AVE",42.31681126,-71.09283155,"(42.31681126, -71.09283155)"
"I182044061","03201","Property Lost","PROPERTY - LOST","E18",940,NA,2017-12-25 15:03:00,2017,12,"Monday",15,"Part Three","BOW ST",42.24410679,-71.11786345,"(42.24410679, -71.11786345)"
"I182043343","03201","Property Lost","PROPERTY - LOST","E18",497,NA,2017-07-28 12:26:00,2017,7,"Friday",12,"Part Three","CRANE ST",42.27041231,-71.11722303,"(42.27041231, -71.11722303)"
"I182043335","03201","Property Lost","PROPERTY - LOST","A7",36,NA,2017-06-01 12:09:00,2017,6,"Thursday",12,"Part Three","HARBORSIDE DR",42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
"I182041193","03201","Property Lost","PROPERTY - LOST","B2",293,NA,2017-05-29 12:09:00,2017,5,"Monday",12,"Part Three","LOGAN ST",42.32610373,-71.09042875,"(42.32610373, -71.09042875)"
